	QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI
0	tribuo-4.1.0																							
1	<Package>org.tribuo	org.tribuo	low-medium	medium-high	high	low						292.0	1789.0											
2	org.tribuo.CategoricalIDInfo	CategoricalIDInfo	low-medium	low	low-medium	low	2.0	5.0	0.0	2.0	0.0	10.0	54.0	39.0	1.0	1.0	5.0	0.0	4.0	0.75	0.467	0.7	1.0	1.6
3	org.tribuo.CategoricalInfo	CategoricalInfo	low-medium	low	low-medium	low-medium	4.0	12.0	3.0	1.0	1.0	35.0	181.0	131.0	5.0	4.0	9.0	0.0	0.0	0.822	0.689	0.7	0.0	0.0
4	org.tribuo.CategoricalInfoTest	CategoricalInfoTest	low	low	low-medium	low	2.0	10.0	7.0	0.0	0.0	14.0	83.0	80.0	0.0	2.0	2.0	3.0	0.0	0.5	0.533	0.9	0.0	0.0
5	org.tribuo.ConfigurableDataSource<T>	ConfigurableDataSource	low	low	low	low	0.0	0.0	0.0	1.0	9.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	org.tribuo.DataSource<T>	DataSource	low	low	low	low	1.0	1.0	0.0	1.0	5.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	org.tribuo.Dataset<T>	Dataset	low-medium	medium-high	low-medium	medium-high	14.0	21.0	10.0	0.0	2.0	36.0	124.0	86.0	3.0	1.0	13.0	0.0	0.0	0.917	0.769	1.0	1.0	0.0
8	org.tribuo.DatasetTest	DatasetTest	low	medium-high	low-medium	low	14.0	27.0	16.0	0.0	0.0	5.0	100.0	99.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0
9	org.tribuo.Example<T>	Example	low-medium	low-medium	low-medium	medium-high	6.0	19.0	3.0	0.0	4.0	22.0	90.0	39.0	2.0	3.0	17.0	0.0	0.0	0.88	0.787	0.987	1.0	0.0
10	org.tribuo.ExampleTest	ExampleTest	low	low-medium	low-medium	low	8.0	32.0	22.0	0.0	0.0	12.0	241.0	239.0	0.0	0.0	8.0	1.0	0.0	0.0	0.444	0.0	1.0	0.0
11	org.tribuo.Excuse<T>	Excuse	low	low	low	low	2.0	2.0	0.0	0.0	1.0	2.0	16.0	4.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
12	org.tribuo.Feature	Feature	low	low	low	low	0.0	4.0	0.0	0.0	1.0	6.0	47.0	20.0	1.0	1.0	4.0	0.0	0.0	0.75	0.375	0.5	0.0	0.0
13	org.tribuo.FeatureMap	FeatureMap	low	low	low	low	1.0	3.0	0.0	0.0	2.0	4.0	33.0	9.0	0.0	1.0	3.0	0.0	0.0	0.0	0.333	0.0	0.0	0.0
14	org.tribuo.FeatureTest	FeatureTest	low	low-medium	low-medium	low	8.0	10.0	1.0	0.0	0.0	3.0	122.0	39.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	org.tribuo.ImmutableDataset<T>	ImmutableDataset	low-medium	medium-high	low-medium	high	16.0	33.0	18.0	1.0	3.0	30.0	104.0	82.0	4.0	1.0	15.0	4.0	0.0	0.886	0.823	0.879	1.0	0.0
