QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI	
tribuo-4.1.0																								
<Package>org.tribuo	org.tribuo	low-medium	medium-high	high	low						292	1789												
org.tribuo.CategoricalIDInfo	CategoricalIDInfo	low-medium	low	low-medium	low	2	5	0	2	0	10	54	39	1	1	5	0	4	0.75	0.467	0.7	1	1.6	
org.tribuo.CategoricalInfo	CategoricalInfo	low-medium	low	low-medium	low-medium	4	12	3	1	1	35	181	131	5	4	9	0	0	0.822	0.689	0.7	0	0.0	
org.tribuo.CategoricalInfoTest	CategoricalInfoTest	low	low	low-medium	low	2	10	7	0	0	14	83	80	0	2	2	3	0	0.5	0.533	0.9	0	0.0	
org.tribuo.ConfigurableDataSource<T>	ConfigurableDataSource	low	low	low	low	0	0	0	1	9	0	1	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.DataSource<T>	DataSource	low	low	low	low	1	1	0	1	5	1	2	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.Dataset<T>	Dataset	low-medium	medium-high	low-medium	medium-high	14	21	10	0	2	36	124	86	3	1	13	0	0	0.917	0.769	1.0	1	0.0	
org.tribuo.DatasetTest	DatasetTest	low	medium-high	low-medium	low	14	27	16	0	0	5	100	99	0	0	3	1	0	0.0	0.0	0.0	2	0.0	
org.tribuo.Example<T>	Example	low-medium	low-medium	low-medium	medium-high	6	19	3	0	4	22	90	39	2	3	17	0	0	0.88	0.787	0.987	1	0.0	
org.tribuo.ExampleTest	ExampleTest	low	low-medium	low-medium	low	8	32	22	0	0	12	241	239	0	0	8	1	0	0.0	0.444	0.0	1	0.0	
org.tribuo.Excuse<T>	Excuse	low	low	low	low	2	2	0	0	1	2	16	4	2	0	2	0	0	1.0	0.0	1.0	0	0.0	
org.tribuo.Feature	Feature	low	low	low	low	0	4	0	0	1	6	47	20	1	1	4	0	0	0.75	0.375	0.5	0	0.0	
org.tribuo.FeatureMap	FeatureMap	low	low	low	low	1	3	0	0	2	4	33	9	0	1	3	0	0	0.0	0.333	0.0	0	0.0	
