file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
tribuo-4.1.0/Clustering/Core/src/main/java/org/tribuo/clustering/evaluation/ClusteringEvaluationImpl.java,org.tribuo.clustering.evaluation.ClusteringEvaluationImpl,class,14,8,1,0,8,22,8,6,0,3,0,0,0,76
tribuo-4.1.0/Core/src/main/java/org/tribuo/MutableDataset.java,org.tribuo.MutableDataset,class,32,34,2,0,36,45,18,18,1,6,0,2,0,236
tribuo-4.1.0/Data/src/main/java/org/tribuo/data/text/TextPipeline.java,org.tribuo.data.text.TextPipeline,interface,5,1,1,0,0,0,1,1,0,0,0,0,0,34
tribuo-4.1.0/Classification/Core/src/main/java/org/tribuo/classification/sequence/viterbi/DefaultFeatureExtractor.java,org.tribuo.classification.sequence.viterbi.DefaultFeatureExtractor,class,12,15,1,0,5,4,5,5,0,6,0,1,0,115
tribuo-4.1.0/Core/src/main/java/org/tribuo/hash/ModHashCodeHasher.java,org.tribuo.hash.ModHashCodeHasher,class,19,20,2,0,11,14,16,13,0,7,0,3,1,125
tribuo-4.1.0/Core/src/main/java/org/tribuo/transform/TransformationProvenance.java,org.tribuo.transform.TransformationProvenance,interface,1,0,1,0,0,0,0,0,0,0,0,0,0,22
tribuo-4.1.0/Classification/SGD/src/main/java/org/tribuo/classification/sgd/LabelObjective.java,org.tribuo.classification.sgd.LabelObjective,interface,8,4,1,0,1,6,4,2,0,0,0,0,0,52
tribuo-4.1.0/Clustering/KMeans/src/main/java/org/tribuo/clustering/kmeans/KMeansModel.java,org.tribuo.clustering.kmeans.KMeansModel,class,26,17,2,0,14,1,7,5,0,3,0,1,1,145
tribuo-4.1.0/Math/src/main/java/org/tribuo/math/optimisers/Adam.java,org.tribuo.math.optimisers.Adam,class,10,10,1,0,6,6,9,9,0,7,0,0,0,119
tribuo-4.1.0/Core/src/main/java/org/tribuo/ConfigurableDataSource.java,org.tribuo.ConfigurableDataSource,interface,4,0,1,0,0,0,0,0,0,0,0,0,0,22
tribuo-4.1.0/Classification/LibSVM/src/main/java/org/tribuo/classification/libsvm/LibSVMClassificationModel.java,org.tribuo.classification.libsvm.LibSVMClassificationModel,class,26,17,3,0,21,4,4,2,0,2,0,1,2,142
tribuo-4.1.0/Core/src/test/java/org/tribuo/datasource/AggregateDataSourceTest.java,org.tribuo.datasource.AggregateDataSourceTest,class,29,8,1,0,13,2,8,8,0,3,0,0,4,147
tribuo-4.1.0/Data/src/main/java/org/tribuo/data/text/impl/CasingPreprocessor.java,org.tribuo.data.text.impl.CasingPreprocessor,class,9,7,1,0,4,4,5,4,0,1,0,0,0,67
tribuo-4.1.0/Clustering/KMeans/src/main/java/org/tribuo/clustering/kmeans/KMeansOptions.java,org.tribuo.clustering.kmeans.KMeansOptions,class,7,1,1,0,3,0,1,1,0,7,5,1,0,45
tribuo-4.1.0/MultiLabel/Core/src/main/java/org/tribuo/multilabel/evaluation/MultiLabelEvaluator.java,org.tribuo.multilabel.evaluation.MultiLabelEvaluator,class,19,5,2,0,6,3,3,0,0,0,0,0,2,81
tribuo-4.1.0/Util/Tokenization/src/test/java/org/tribuo/util/tokens/options/CoreTokenizerOptionsTest.java,org.tribuo.util.tokens.options.CoreTokenizerOptionsTest,class,18,5,2,0,10,6,4,3,1,1,1,0,0,101
tribuo-4.1.0/Core/src/main/java/org/tribuo/evaluation/metrics/MetricContext.java,org.tribuo.evaluation.metrics.MetricContext,class,7,5,1,0,1,0,5,3,0,3,0,0,0,62
tribuo-4.1.0/Data/src/test/java/org/tribuo/data/columnar/processors/response/EmptyResponseProcessorTest.java,org.tribuo.data.columnar.processors.response.EmptyResponseProcessorTest,class,4,1,1,0,7,0,1,1,0,0,0,0,0,26
tribuo-4.1.0/Util/InformationTheory/src/main/java/org/tribuo/util/infotheory/example/InformationTheoryDemo.java,org.tribuo.util.infotheory.example.InformationTheoryDemo,class,17,16,1,0,19,2,5,5,4,3,1,2,17,192
tribuo-4.1.0/Interop/ONNX/src/main/java/org/tribuo/interop/onnx/LabelTransformer.java,org.tribuo.interop.onnx.LabelTransformer,class,32,36,1,0,20,45,10,7,0,2,0,2,0,182
tribuo-4.1.0/Regression/SLM/src/main/java/org/tribuo/regression/slm/LARSTrainer.java,org.tribuo.regression.slm.LARSTrainer,class,9,10,2,0,13,6,4,3,0,1,0,1,4,85
tribuo-4.1.0/Data/src/main/java/org/tribuo/data/text/impl/NewsPreprocessor.java,org.tribuo.data.text.impl.NewsPreprocessor,class,7,8,1,0,7,3,3,3,0,2,0,2,0,65
tribuo-4.1.0/Core/src/test/java/org/tribuo/VersionTest.java,org.tribuo.VersionTest,class,1,1,1,0,1,0,1,1,0,0,0,0,0,33
tribuo-4.1.0/Core/src/main/java/org/tribuo/impl/ArrayExample.java,org.tribuo.impl.ArrayExample,class,42,92,2,1,48,0,34,30,0,7,1,3,0,538
tribuo-4.1.0/Classification/DecisionTree/src/main/java/org/tribuo/classification/dtree/impl/ClassifierTrainingNode.java,org.tribuo.classification.dtree.impl.ClassifierTrainingNode,class,36,48,2,0,53,16,13,6,1,11,0,5,11,399
tribuo-4.1.0/Regression/Core/src/main/java/org/tribuo/regression/baseline/DummyRegressionTrainer.java,org.tribuo.regression.baseline.DummyRegressionTrainer,class,34,46,1,0,28,0,18,17,5,11,0,1,2,310
tribuo-4.1.0/Interop/Tensorflow/src/main/java/org/tribuo/interop/tensorflow/TensorFlowModel.java,org.tribuo.interop.tensorflow.TensorFlowModel,class,40,22,2,2,35,15,11,8,0,10,0,2,2,211
tribuo-4.1.0/Interop/Tensorflow/src/main/java/org/tribuo/interop/tensorflow/example/GraphDefTuple.java,org.tribuo.interop.tensorflow.example.GraphDefTuple,class,1,1,1,0,0,0,1,1,0,4,4,0,0,41
tribuo-4.1.0/Interop/ONNX/src/main/java/org/tribuo/interop/onnx/ImageTransformer.java,org.tribuo.interop.onnx.ImageTransformer,class,18,18,1,0,13,8,8,6,0,4,0,1,0,113
tribuo-4.1.0/Core/src/main/java/org/tribuo/datasource/IDXDataSource.java,org.tribuo.datasource.IDXDataSource,class,55,81,2,0,48,99,23,13,5,23,6,7,6,510
tribuo-4.1.0/Classification/MultinomialNaiveBayes/src/main/java/org/tribuo/classification/mnb/TrainTest.java,org.tribuo.classification.mnb.TrainTest,class,11,3,1,0,7,1,2,2,1,4,3,1,1,54
tribuo-4.1.0/Util/Tokenization/src/test/java/org/tribuo/util/tokens/impl/SplitCharactersTokenizerTest.java,org.tribuo.util.tokens.impl.SplitCharactersTokenizerTest,class,5,2,2,0,2,1,2,2,0,0,0,0,0,98
tribuo-4.1.0/Core/src/main/java/org/tribuo/evaluation/EvaluationAggregator.java,org.tribuo.evaluation.EvaluationAggregator,class,29,19,1,0,21,66,12,11,11,0,0,0,5,224
