class,type
org.tribuo.classification.LabelInfo$Anonymous1,anonymous
org.tribuo.classification.evaluation.TestUtils$Anonymous1,anonymous
org.tribuo.classification.explanations.lime.LIMEColumnarTest$Anonymous1,anonymous
org.tribuo.classification.explanations.lime.LIMEColumnarTest$Anonymous2,anonymous
org.tribuo.clustering.ClusteringInfo$Anonymous1,anonymous
org.tribuo.evaluation.KFoldSplitter$Anonymous1,anonymous
org.tribuo.multilabel.MultiLabelInfo$Anonymous1,anonymous
org.tribuo.multilabel.evaluation.MultiLabelEvaluatorTest$Anonymous1,anonymous
org.tribuo.test.MockMultiOutputInfo$Anonymous1,anonymous
org.tribuo.test.MockOutputInfo$Anonymous1,anonymous
org.tribuo.transform.TransformationMapTest$CountTransformation$Anonymous1,anonymous
org.tribuo.math.optimisers.LinearDecaySGD,class
org.tribuo.math.optimisers.SGD,class
org.tribuo.math.optimisers.SimpleSGD,class
org.tribuo.anomaly.Event$EventType,enum
org.tribuo.anomaly.liblinear.LinearAnomalyType$LinearType,enum
org.tribuo.anomaly.libsvm.SVMAnomalyType$SVMMode,enum
org.tribuo.classification.baseline.DummyClassifierTrainer$DummyType,enum
org.tribuo.classification.dtree.CARTClassificationOptions$ImpurityType,enum
org.tribuo.classification.dtree.CARTClassificationOptions$TreeType,enum
org.tribuo.classification.ensemble.ClassificationEnsembleOptions$EnsembleType,enum
org.tribuo.classification.experiments.AllTrainerOptions$AlgorithmType,enum
org.tribuo.classification.liblinear.LinearClassificationType$LinearType,enum
org.tribuo.classification.libsvm.SVMClassificationType$SVMMode,enum
org.tribuo.classification.sequence.viterbi.ViterbiModel$ScoreAggregation,enum
org.tribuo.classification.sequence.viterbi.ViterbiTrainerOptions$ViterbiLabelFeatures,enum
org.tribuo.classification.sgd.crf.CRFModel$ConfidenceType,enum
org.tribuo.classification.sgd.kernel.KernelSVMOptions$KernelEnum,enum
org.tribuo.classification.sgd.linear.LinearSGDOptions$LossEnum,enum
org.tribuo.clustering.kmeans.KMeansTrainer$Distance,enum
org.tribuo.clustering.kmeans.KMeansTrainer$Initialisation,enum
org.tribuo.common.nearest.KNNClassifierOptions$EnsembleCombinerType,enum
org.tribuo.common.nearest.KNNModel$Backend,enum
org.tribuo.common.nearest.KNNTrainer$Distance,enum
org.tribuo.common.xgboost.XGBoostTrainer$BoosterType,enum
org.tribuo.common.xgboost.XGBoostTrainer$LoggingVerbosity,enum
org.tribuo.common.xgboost.XGBoostTrainer$TreeMethod,enum
org.tribuo.data.DataOptions$Delimiter,enum
org.tribuo.data.DataOptions$InputFormat,enum
org.tribuo.data.columnar.FieldProcessor$GeneratedFeatureType,enum
org.tribuo.data.columnar.processors.feature.UniqueProcessor$UniqueType,enum
org.tribuo.data.columnar.processors.field.RegexFieldProcessor$Mode,enum
org.tribuo.data.text.impl.CasingPreprocessor$CasingOperation,enum
org.tribuo.datasource.AggregateDataSource$IterationOrder,enum
org.tribuo.datasource.IDXDataSource$IDXType,enum
org.tribuo.evaluation.metrics.EvaluationMetric$Average,enum
org.tribuo.hash.HashingOptions$ModelHashingType,enum
org.tribuo.interop.onnx.extractors.BERTFeatureExtractor$OutputPooling,enum
org.tribuo.interop.tensorflow.TensorFlowTrainer$TFModelFormat,enum
org.tribuo.interop.tensorflow.TrainTest$InputType,enum
org.tribuo.json.StripProvenance$ProvenanceTypes,enum
org.tribuo.math.optimisers.GradientOptimiserOptions$StochasticGradientOptimiserType,enum
org.tribuo.math.optimisers.SGD$Momentum,enum
org.tribuo.multilabel.sgd.linear.LinearSGDOptions$LossEnum,enum
org.tribuo.regression.baseline.DummyRegressionTrainer$DummyType,enum
org.tribuo.regression.liblinear.LinearRegressionType$LinearType,enum
org.tribuo.regression.libsvm.SVMRegressionType$SVMMode,enum
org.tribuo.regression.rtree.TrainTest$ImpurityType,enum
org.tribuo.regression.rtree.TrainTest$TreeType,enum
org.tribuo.regression.sgd.TrainTest$LossEnum,enum
org.tribuo.regression.slm.TrainTest$SLMType,enum
org.tribuo.regression.xgboost.XGBoostRegressionTrainer$RegressionType,enum
org.tribuo.transform.transformations.BinningTransformation$BinningType,enum
org.tribuo.transform.transformations.SimpleTransform$Operation,enum
org.tribuo.util.infotheory.WeightedInformationTheory$VariableSelector,enum
org.tribuo.util.infotheory.example.InformationTheoryDemo$DistributionType,enum
org.tribuo.util.tokens.Token$TokenType,enum
org.tribuo.util.tokens.impl.SplitFunctionTokenizer$SplitResult,enum
org.tribuo.util.tokens.impl.SplitFunctionTokenizer$SplitType,enum
org.tribuo.util.tokens.options.CoreTokenizerOptions$CoreTokenizerType,enum
org.tribuo.util.tokens.universal.UniversalTokenizer$State,enum
org.tribuo.Dataset$ShuffleIterator,innerclass
org.tribuo.ModelExplorer$ModelExplorerOptions,innerclass
org.tribuo.anomaly.AnomalyFactory$AnomalyFactoryProvenance,innerclass
org.tribuo.anomaly.evaluation.AnomalyMetric$Context,innerclass
org.tribuo.anomaly.evaluation.AnomalyMetric$PredictionStatistics,innerclass
org.tribuo.classification.ImmutableLabelInfo$ImmutableInfoIterator,innerclass
org.tribuo.classification.LabelFactory$LabelFactoryProvenance,innerclass
org.tribuo.classification.dtree.TrainTest$TrainTestOptions,innerclass
org.tribuo.classification.evaluation.LabelEvaluationUtil$PRCurve,innerclass
org.tribuo.classification.evaluation.LabelEvaluationUtil$ROC,innerclass
org.tribuo.classification.evaluation.LabelEvaluationUtil$TPFP,innerclass
org.tribuo.classification.evaluation.LabelMetric$Context,innerclass
org.tribuo.classification.evaluation.LabelMetrics$PredictionProbabilities,innerclass
org.tribuo.classification.experiments.ConfigurableTrainTest$ConfigurableTrainTestOptions,innerclass
org.tribuo.classification.experiments.RunAll$RunAllOptions,innerclass
org.tribuo.classification.experiments.Test$ConfigurableTestOptions,innerclass
org.tribuo.classification.experiments.TrainTest$AllClassificationOptions,innerclass
org.tribuo.classification.explanations.lime.LIMETextCLI$LIMETextCLIOptions,innerclass
org.tribuo.classification.liblinear.TestLibLinearModel$TestMap,innerclass
org.tribuo.classification.liblinear.TrainTest$TrainTestOptions,innerclass
org.tribuo.classification.libsvm.TestLibSVM$TestMap,innerclass
org.tribuo.classification.libsvm.TrainTest$TrainTestOptions,innerclass
org.tribuo.classification.mnb.TrainTest$TrainTestOptions,innerclass
org.tribuo.classification.sequence.ConfidencePredictingSequenceModel$Subsequence,innerclass
org.tribuo.classification.sequence.SeqTrainTest$SeqTrainTestOptions,innerclass
org.tribuo.classification.sequence.viterbi.ViterbiModel$Path,innerclass
org.tribuo.classification.sgd.TrainTest$TrainTestOptions,innerclass
org.tribuo.classification.sgd.Util$ExampleArray,innerclass
org.tribuo.classification.sgd.Util$SequenceExampleArray,innerclass
org.tribuo.classification.sgd.crf.ChainHelper$ChainBPResults,innerclass
org.tribuo.classification.sgd.crf.ChainHelper$ChainCliqueValues,innerclass
org.tribuo.classification.sgd.crf.ChainHelper$ChainViterbiResults,innerclass
org.tribuo.classification.sgd.crf.SeqTest$CRFOptions,innerclass
org.tribuo.classification.sgd.kernel.TrainTest$TrainTestOptions,innerclass
org.tribuo.classification.xgboost.TrainTest$TrainTestOptions,innerclass
org.tribuo.clustering.ClusteringFactory$ClusteringFactoryProvenance,innerclass
org.tribuo.clustering.ImmutableClusteringInfo$ImmutableInfoIterator,innerclass
org.tribuo.clustering.evaluation.ClusteringMetric$Context,innerclass
org.tribuo.clustering.kmeans.KMeansTrainer$IntAndVector,innerclass
org.tribuo.clustering.kmeans.TrainTest$KMeansOptions,innerclass
org.tribuo.common.nearest.KNNModel$OutputDoublePair,innerclass
